project_id,sprint,velocity,progress,blocked,reopened,scope_change,defects,lead_time,throughput,delay
44,10,45.8,67.43,4,2,6.63,0,8.26,28.17,1
25,9,68.97,67.5,1,1,5.94,0,8.42,28.44,0
49,10,40.97,100.0,1,0,15.93,1,8.96,42.49,0
27,11,37.13,85.94,4,0,6.91,3,13.73,45.67,0
59,3,52.16,50.21,1,1,8.13,3,13.21,28.11,0
42,11,23.89,82.04,5,0,10.37,5,13.18,24.11,1
28,5,42.99,52.46,3,0,2.96,3,14.97,8.48,1
16,8,45.05,50.56,2,0,6.31,3,11.08,34.2,1
15,8,53.31,81.8,0,0,14.05,3,17.78,30.47,1
47,4,35.06,86.17,2,1,14.95,3,10.44,39.17,1
51,12,36.81,81.88,3,0,2.84,2,11.83,39.65,1
44,11,67.35,100.0,3,1,16.67,3,6.33,28.78,0
55,11,49.8,80.53,1,1,10.81,0,6.84,16.64,1
52,1,62.97,77.55,2,2,2.89,2,11.21,43.49,1
57,1,41.87,56.76,0,0,8.59,3,9.73,22.58,0
3,4,49.18,87.86,1,0,2.92,3,15.95,44.07,1
37,6,53.22,50.23,4,1,5.77,2,5.95,37.11,0
51,8,76.21,100.0,3,0,7.79,2,4.91,10.55,0
7,6,46.74,88.06,1,1,14.33,7,11.19,25.86,1
21,12,47.51,100.0,1,3,1.55,4,7.9,23.28,1
9,9,66.47,80.84,0,3,11.96,3,9.84,5.0,0
39,9,44.3,88.8,3,1,2.53,4,11.61,15.92,0
18,2,54.27,70.84,1,1,10.75,5,11.55,14.39,0
4,10,65.16,74.35,1,0,12.75,2,7.95,39.17,0
25,1,41.36,59.23,1,0,3.77,5,8.04,23.88,1
14,2,55.11,53.28,1,2,6.18,1,13.98,28.35,1
50,5,76.18,77.84,0,1,6.94,1,10.16,29.9,1
58,4,63.82,74.26,1,0,9.58,3,12.04,52.0,0
9,4,54.27,58.86,2,2,0.82,7,9.7,30.06,1
26,9,46.64,61.52,0,2,5.03,4,9.1,24.09,0
53,11,40.94,75.49,2,1,4.07,2,7.2,23.39,1
2,8,35.18,58.6,2,1,4.95,4,12.48,25.53,1
20,6,72.64,80.35,0,1,13.49,2,11.2,34.24,0
28,1,69.73,59.07,4,1,2.34,3,6.1,26.73,1
47,2,40.14,78.84,1,2,6.24,2,13.46,20.24,1
7,6,55.07,57.74,2,0,2.55,3,3.88,30.53,0
44,11,51.67,57.8,3,0,8.22,3,14.29,42.08,1
8,2,67.77,39.57,2,3,2.15,1,7.08,31.16,0
47,10,55.74,72.6,1,1,4.12,5,10.97,24.1,1
35,5,49.66,96.81,2,2,0.38,1,9.84,31.71,0
14,5,41.87,95.96,3,2,12.04,3,5.96,7.83,1
17,6,55.11,79.86,1,2,5.22,0,8.57,27.43,1
36,6,44.78,44.98,1,2,6.53,3,15.48,21.05,1
50,6,53.31,87.66,1,1,2.84,4,13.24,11.43,1
40,2,48.86,78.38,1,1,6.5,3,14.98,43.87,0
4,10,44.41,68.9,0,0,3.17,5,6.85,24.56,1
2,3,35.41,93.11,3,1,1.65,4,7.17,21.36,1
6,6,57.71,84.23,2,0,6.64,3,8.89,30.59,0
54,8,50.64,100.0,2,1,8.78,3,9.81,15.25,0
42,12,76.81,53.92,0,0,6.59,5,6.61,22.92,0
4,11,34.51,55.09,3,0,7.64,5,10.09,22.41,0
54,12,59.38,57.62,0,1,3.87,0,11.41,27.57,1
29,1,48.76,70.72,3,1,5.5,0,14.48,49.93,0
18,1,81.5,98.82,2,0,7.43,1,10.4,46.64,0
26,11,58.23,65.65,1,0,4.34,1,11.58,14.39,0
44,2,54.87,65.97,1,2,9.6,6,6.82,30.24,1
34,11,48.8,81.26,2,0,5.04,6,3.64,23.11,0
10,12,39.45,87.65,1,1,10.65,5,14.61,32.61,1
36,12,54.67,41.45,2,0,7.14,5,10.41,15.5,1
14,6,29.27,90.6,3,0,14.3,4,13.8,50.48,0
31,9,29.96,65.17,2,1,16.75,2,8.44,28.99,1
48,4,65.19,73.46,0,0,5.16,1,5.38,23.4,1
15,3,23.57,96.27,1,0,8.93,0,4.4,22.42,0
8,12,45.21,71.75,0,1,2.64,2,6.52,31.65,1
14,8,34.26,52.02,3,0,8.26,2,6.19,20.49,1
23,11,43.96,52.89,4,1,0.93,3,12.04,23.55,1
57,10,52.77,74.56,3,1,5.39,3,9.57,33.99,1
40,9,64.77,69.98,0,1,4.3,2,13.81,17.57,1
21,12,68.26,75.89,3,0,11.17,1,8.9,31.66,1
16,11,36.22,68.98,2,0,2.94,4,15.49,34.68,1
45,5,43.01,93.62,4,2,9.93,1,12.53,14.76,1
18,9,110.79,75.37,1,0,20.49,1,9.79,31.13,0
47,2,46.25,48.56,3,1,16.05,4,7.32,30.74,1
53,3,36.77,87.25,1,2,10.45,3,16.13,38.62,0
24,7,39.26,100.0,2,0,8.0,2,8.32,26.36,1
26,7,46.34,77.32,2,0,14.38,2,12.66,19.58,1
25,6,44.11,78.49,2,0,4.06,3,13.3,18.24,1
45,6,46.48,63.3,6,1,2.44,2,15.22,16.02,1
41,2,49.68,71.36,1,1,7.01,6,6.39,29.11,0
29,10,49.57,82.54,2,2,4.39,4,19.76,20.73,0
15,6,35.67,91.98,2,0,14.73,3,17.32,40.58,1
45,4,55.54,81.69,1,1,3.61,4,12.19,30.73,0
1,12,51.82,100.0,1,0,11.01,2,4.45,33.48,0
25,3,57.45,76.48,2,1,3.82,3,13.31,30.96,1
7,11,24.28,58.17,1,0,2.53,6,13.41,28.11,1
9,2,52.35,58.6,5,1,1.78,2,4.78,42.66,1
24,1,20.22,93.52,1,0,6.67,3,9.36,12.57,0
1,11,47.37,90.11,0,0,5.24,1,14.74,29.7,0
44,11,59.87,50.33,4,3,10.35,4,1.3,15.09,1
8,5,65.69,71.86,2,0,15.57,2,11.49,11.57,1
24,2,55.02,72.4,2,2,4.81,5,11.17,16.18,1
11,2,60.13,63.73,2,2,1.94,4,5.55,49.02,1
51,7,45.51,53.84,1,0,8.35,3,12.25,25.8,1
17,8,42.36,63.4,1,1,4.29,0,10.18,30.9,0
8,10,90.39,60.7,3,0,7.27,1,9.96,45.08,0
35,8,62.41,54.2,1,1,7.26,3,11.51,18.94,1
35,4,32.41,87.44,0,0,5.39,5,9.58,27.74,0
33,1,23.98,79.24,7,1,16.09,1,9.29,26.91,1
59,11,43.02,68.04,2,1,14.52,3,8.4,38.67,1
5,7,67.88,43.94,1,1,7.16,3,10.76,42.43,1
42,1,50.73,70.51,2,1,18.01,4,7.0,19.15,1
39,11,16.64,82.82,0,1,6.04,2,18.34,21.88,1
58,4,47.34,63.96,2,0,1.2,7,6.21,42.19,1
41,8,49.96,57.75,3,0,7.02,1,12.14,22.28,1
28,2,13.76,73.15,2,1,9.4,3,5.9,27.32,1
7,6,50.36,80.03,1,1,13.01,4,23.35,24.85,1
9,6,34.8,45.0,1,2,1.17,3,7.08,40.02,1
8,12,22.47,95.31,2,0,5.6,4,17.38,32.97,1
12,9,74.07,56.26,2,0,19.24,3,7.68,9.83,0
34,5,34.14,68.66,5,2,4.28,3,13.3,19.25,1
33,10,39.99,92.72,0,0,13.6,1,10.07,25.38,0
48,4,39.79,76.88,2,0,11.87,5,11.37,28.46,1
55,5,50.03,91.44,5,2,14.92,3,11.65,43.99,1
23,12,76.49,98.31,4,1,4.1,4,12.93,32.95,0
24,12,32.06,53.1,4,1,1.34,2,12.41,27.07,1
37,10,45.4,88.53,2,4,5.06,4,9.46,33.32,1
35,11,51.81,94.88,1,2,5.65,0,10.43,29.01,0
44,5,36.97,69.36,0,2,15.85,3,10.51,23.12,0
40,8,45.16,70.56,2,1,8.24,2,10.08,20.9,1
22,10,58.92,46.3,3,0,1.3,4,9.48,26.39,0
27,12,38.66,86.72,3,1,7.45,6,11.95,18.11,1
35,8,44.92,36.98,0,0,2.47,5,8.69,31.06,1
1,2,43.53,89.53,4,1,2.17,1,13.95,40.9,1
35,7,48.44,53.73,2,2,6.0,2,15.35,36.03,0
37,8,53.65,95.86,4,3,5.82,2,8.87,37.62,1
47,11,58.8,80.94,3,1,3.2,1,12.24,21.47,1
14,6,79.06,90.13,0,2,1.74,3,8.7,16.87,0
3,5,10.12,62.81,2,2,3.36,8,7.39,38.35,1
1,11,47.49,55.0,1,1,1.64,3,7.7,32.9,1
5,9,29.53,48.55,3,1,3.82,2,7.05,27.64,1
26,3,44.22,91.37,4,0,9.85,2,3.95,36.31,1
55,12,63.21,84.94,2,0,9.89,4,18.99,27.16,1
14,10,67.97,85.48,2,1,4.5,2,9.79,46.19,0
39,4,68.67,79.37,3,1,6.88,2,11.24,36.37,1
27,9,68.53,83.16,3,3,6.15,3,7.78,29.67,0
9,6,47.39,70.63,0,0,6.65,6,8.73,14.83,1
15,8,70.98,80.55,6,2,13.83,4,5.07,24.52,1
15,7,73.95,62.15,2,0,5.35,4,13.22,42.25,1
26,11,52.08,69.86,4,1,6.51,1,8.03,36.3,0
42,2,67.66,100.0,2,0,11.1,6,17.66,46.37,0
13,3,50.62,75.58,3,1,3.99,2,8.14,20.76,1
51,1,71.15,45.43,1,1,8.66,3,11.69,12.39,0
32,9,47.58,68.87,5,1,16.53,4,5.89,38.9,0
39,7,40.86,59.14,2,0,5.43,4,10.11,38.45,1
49,1,33.2,77.39,2,4,18.19,3,2.96,30.97,1
52,3,47.4,61.66,1,0,12.14,1,5.57,39.75,1
32,4,51.27,71.82,0,2,2.63,5,15.31,44.63,0
4,4,35.81,63.9,1,2,4.77,1,15.95,27.08,1
30,5,46.25,77.96,1,2,3.72,5,10.55,43.99,0
37,3,42.1,65.59,1,0,5.07,2,10.28,12.88,1
23,3,33.85,80.35,2,0,10.88,3,13.67,30.97,1
39,1,65.54,100.0,1,1,4.53,2,11.14,30.59,1
45,7,68.18,57.68,3,2,12.61,4,7.05,33.18,1
15,11,65.47,85.86,3,2,12.63,3,13.15,37.68,0
43,10,48.74,38.21,3,2,0.87,3,12.5,39.63,1
29,1,49.66,71.51,4,0,3.14,3,15.71,25.13,0
36,2,34.05,78.43,3,1,8.49,2,14.64,18.95,1
13,4,56.22,63.78,4,1,10.22,1,2.79,38.96,0
32,4,52.54,48.19,1,1,13.48,4,6.33,21.0,1
7,5,92.66,74.43,3,0,10.38,4,21.07,13.56,1
59,11,66.31,97.98,3,0,2.0,5,8.56,33.46,0
51,2,54.73,72.8,1,1,2.26,2,9.94,27.02,0
22,4,49.38,83.38,2,1,10.28,3,9.76,15.05,1
28,1,65.02,91.9,3,2,4.58,3,8.74,15.72,1
2,2,36.26,100.0,1,0,4.96,2,18.14,28.51,0
42,1,67.09,59.22,3,0,10.97,2,10.7,25.86,1
45,10,33.69,60.76,3,1,11.02,2,6.14,34.01,1
57,10,41.58,70.62,1,1,5.14,3,8.88,32.71,1
53,4,22.43,84.23,6,1,8.4,4,14.09,33.42,1
6,4,59.21,40.19,6,0,8.63,2,6.94,21.51,1
28,7,53.75,84.81,1,2,0.18,2,12.81,27.93,0
28,10,41.58,77.22,5,1,6.64,4,7.73,34.41,1
44,11,36.06,66.99,2,1,12.02,2,9.44,27.8,1
44,11,70.68,81.38,1,1,8.54,5,15.55,40.84,1
20,9,48.0,88.34,2,2,6.04,4,13.35,25.06,1
30,9,38.49,90.42,0,0,7.77,4,12.56,35.55,0
11,5,78.83,75.22,4,1,13.47,3,6.28,31.53,0
58,10,40.14,79.89,1,3,4.25,2,14.5,23.12,1
55,1,67.08,79.32,1,0,7.65,4,6.32,38.11,0
28,1,32.74,93.47,0,1,12.79,5,9.45,23.82,1
25,6,44.68,80.72,1,1,11.18,2,11.02,35.53,1
39,2,57.53,84.68,2,1,10.75,5,15.64,38.03,1
33,8,49.13,88.39,3,2,9.2,8,11.58,38.17,1
1,9,53.66,100.0,2,1,4.15,2,11.44,29.96,0
57,4,41.92,66.21,2,0,17.17,0,7.34,17.6,1
27,5,26.03,99.39,2,1,9.8,4,14.85,33.31,1
57,11,71.98,100.0,4,0,2.51,5,10.69,46.63,0
52,8,42.83,67.17,1,0,3.92,2,3.27,47.97,1
13,3,54.34,71.75,2,2,3.26,2,20.09,22.36,1
41,5,60.53,68.57,3,0,9.46,2,6.89,32.67,0
3,3,54.63,84.85,2,0,3.79,5,4.51,21.55,0
39,12,39.37,47.07,5,1,15.44,1,8.44,46.49,1
6,10,67.4,67.51,0,0,8.63,1,15.12,37.22,1
8,3,57.71,70.9,5,3,12.27,3,19.56,31.89,1
27,3,52.98,69.58,2,2,1.86,5,10.97,36.36,0
9,12,52.63,69.43,2,2,9.35,0,12.94,10.19,1
37,7,75.23,67.66,1,1,6.63,2,8.41,25.64,0
33,7,39.05,86.66,3,0,18.84,5,15.9,33.11,1
51,7,56.23,83.07,1,3,15.37,2,7.81,20.84,1
42,10,42.07,100.0,3,4,7.76,3,13.71,26.33,1
44,8,20.96,86.7,3,0,11.36,3,19.5,34.66,1
24,5,20.56,58.54,2,0,7.72,3,14.52,35.82,1
15,5,34.78,72.45,3,0,6.45,1,11.49,27.36,0
59,4,40.12,70.86,1,1,8.65,5,7.83,29.5,1
54,7,82.59,78.83,1,1,5.99,1,8.9,20.55,1
32,10,60.48,91.4,3,1,21.24,0,3.22,23.22,0
32,4,61.83,77.79,2,1,21.77,1,11.7,37.55,1
24,2,40.44,77.83,3,0,4.66,1,11.36,19.39,1
41,4,50.92,75.15,3,1,11.74,7,5.34,40.26,1
52,8,84.59,87.16,1,2,10.99,1,11.45,40.38,1
49,9,31.78,66.47,0,3,2.89,3,9.44,35.07,1
49,3,56.84,53.14,3,0,9.77,1,5.16,35.54,0
58,7,74.17,84.67,1,1,2.68,4,7.8,17.09,0
52,12,64.49,80.63,1,0,8.94,3,5.6,36.01,0
12,9,77.02,94.85,1,0,11.41,5,9.18,19.3,0
39,11,53.19,38.58,1,1,11.34,2,10.61,12.26,1
2,4,59.05,73.49,3,2,0.77,1,6.64,33.23,1
3,10,51.65,76.6,1,2,6.09,6,3.62,48.34,1
49,3,58.0,52.34,3,0,0.51,5,12.98,23.12,1
37,5,36.27,73.7,6,0,7.83,2,6.1,34.89,1
49,1,61.89,92.8,0,1,7.52,7,12.65,34.64,0
56,3,54.41,100.0,3,2,10.74,1,9.81,30.85,1
17,8,50.94,89.74,2,1,1.82,5,12.31,15.09,1
59,11,76.2,70.13,1,0,2.37,1,9.13,32.32,0
49,8,46.02,93.92,3,0,6.73,0,15.37,45.46,0
2,4,68.12,88.67,1,3,3.82,4,19.47,39.99,1
2,2,69.61,67.73,0,0,5.51,5,11.97,11.24,0
28,8,62.83,66.27,1,2,4.41,1,2.33,41.42,0
54,8,35.52,72.47,6,1,7.21,2,13.88,29.67,1
23,10,55.39,59.24,1,0,3.26,5,7.57,42.89,0
37,4,79.38,70.34,4,2,11.44,5,1.0,15.48,0
32,3,22.72,82.3,4,2,3.1,4,9.0,24.17,1
33,2,47.19,90.58,1,1,5.38,3,15.13,30.76,1
1,9,67.43,69.32,2,0,2.32,4,14.02,42.69,1
19,1,48.27,95.83,3,1,6.38,2,8.56,28.28,1
2,7,62.15,84.75,1,0,5.46,3,17.34,24.68,0
53,5,71.14,85.43,3,2,7.34,2,6.77,28.6,1
44,8,53.48,61.21,3,2,10.18,2,17.89,49.3,1
26,4,57.63,100.0,3,1,2.47,3,7.93,20.16,0
32,7,51.38,83.3,1,1,7.56,2,8.48,25.77,1
6,5,54.47,70.01,3,0,13.57,2,2.45,19.9,1
32,5,81.54,67.36,4,0,17.29,4,8.54,35.19,1
55,9,49.04,70.34,3,0,1.67,4,11.8,19.95,1
4,9,44.7,59.72,0,1,6.2,2,9.22,31.38,1
55,9,65.63,89.82,5,0,5.45,1,3.63,22.11,0
11,12,37.36,61.26,2,1,8.01,4,10.95,33.99,1
56,6,40.78,79.35,2,2,2.39,1,10.1,31.85,1
59,6,40.87,68.25,1,0,1.85,3,10.31,38.66,0
17,5,46.16,85.06,0,2,10.89,1,13.02,35.04,0
38,9,46.82,87.1,3,1,3.88,2,10.05,42.11,0
24,10,60.49,65.34,2,1,12.62,3,10.69,52.56,0
5,8,44.86,74.49,2,1,7.23,2,16.0,53.25,0
52,7,61.09,53.35,4,2,13.71,3,7.43,34.39,1
34,7,62.96,100.0,4,0,7.08,0,13.58,32.61,1
6,6,40.2,91.02,1,0,6.28,0,10.56,26.54,0
22,5,62.64,54.07,1,0,2.98,4,7.71,27.48,0
11,4,64.0,62.0,1,1,5.49,5,15.65,33.07,1
48,3,23.59,72.98,0,2,10.76,1,7.33,21.0,1
16,3,54.4,75.58,2,2,13.86,2,12.48,36.19,1
33,6,42.4,64.71,2,0,3.87,2,5.75,11.73,1
9,4,69.55,57.83,2,0,14.25,5,5.17,31.56,0
59,12,42.25,80.93,0,0,16.58,0,13.8,21.96,1
6,12,29.91,100.0,5,1,13.32,4,1.48,26.39,1
16,6,49.55,75.82,0,2,5.29,5,4.56,35.83,1
29,3,36.55,70.62,3,0,7.78,10,15.73,19.24,1
3,4,62.74,69.05,0,2,15.34,4,19.06,23.2,1
20,9,37.87,58.55,1,2,9.62,1,15.06,18.17,1
59,5,49.74,64.92,0,1,9.28,1,5.39,43.12,0
36,7,73.19,92.04,2,1,3.42,2,12.09,10.49,0
19,10,66.48,43.94,0,0,11.41,0,4.18,25.41,1
26,2,57.17,76.05,1,0,7.13,3,9.04,38.42,1
3,5,48.09,75.42,0,0,12.62,2,7.39,41.26,0
19,9,55.74,76.78,1,1,11.17,0,15.58,41.6,1
20,11,60.33,85.91,1,1,5.21,4,9.63,37.23,0
32,3,35.2,75.92,3,0,18.57,2,1.0,21.34,1
7,9,62.77,68.19,4,0,5.98,3,12.05,31.78,1
52,11,33.47,65.15,4,0,7.84,2,8.54,12.3,1
41,6,58.59,94.48,1,0,10.12,2,8.27,22.54,0
33,4,33.4,90.62,3,3,7.98,3,15.61,19.07,0
40,7,79.44,100.0,3,3,7.73,5,10.33,24.34,0
39,8,61.45,70.79,1,1,10.03,0,4.47,28.78,0
18,6,26.66,65.43,0,2,8.84,3,7.95,17.67,0
40,5,49.99,81.8,0,0,15.73,4,7.8,43.63,0
1,6,42.18,81.44,1,2,6.04,3,9.4,17.36,1
11,5,40.4,84.55,0,1,10.16,3,6.83,33.08,0
28,8,52.21,87.71,2,0,9.98,1,10.23,12.96,1
57,1,36.08,84.4,2,0,7.43,4,11.75,31.52,1
25,11,61.42,91.13,2,1,12.33,0,12.33,17.14,1
50,7,60.57,93.12,3,0,8.05,3,11.07,42.61,1
23,10,55.27,93.39,2,1,9.59,5,10.49,29.22,1
31,10,49.71,41.08,1,1,8.81,0,11.71,24.82,0
30,11,59.9,78.49,4,0,4.58,6,15.61,34.96,1
42,2,61.87,61.15,3,3,5.98,2,3.11,28.49,0
35,9,56.82,90.83,0,4,18.27,3,7.91,36.03,0
7,1,30.32,40.77,3,1,5.44,3,10.96,39.46,1
16,11,38.17,97.04,2,2,9.13,1,9.24,28.01,1
26,10,45.98,62.03,1,0,21.79,2,6.86,29.31,1
48,6,27.86,58.59,1,2,6.44,3,1.71,17.8,0
57,9,53.36,80.34,2,2,9.44,3,13.73,39.76,0
52,1,71.17,69.4,2,0,10.61,3,12.78,30.97,1
49,4,68.78,100.0,5,0,4.97,4,5.25,36.25,0
2,4,61.09,95.45,2,0,15.39,3,17.41,26.13,1
1,9,60.92,67.34,3,0,12.04,2,10.64,11.93,1
48,11,83.23,90.64,1,1,9.89,3,7.48,22.04,0
12,5,62.66,66.82,4,1,1.33,1,4.93,6.76,1
5,5,63.88,66.69,3,1,13.96,5,7.05,27.28,1
37,6,28.42,85.71,3,1,5.18,2,8.91,41.66,1
32,1,69.99,96.84,1,1,4.79,2,10.09,19.02,0
59,1,55.98,68.38,3,1,0.42,1,10.95,48.08,1
55,9,48.8,69.53,3,1,0.98,3,11.25,19.95,1
9,3,45.09,79.52,2,0,4.22,3,12.58,11.85,1
41,4,41.77,61.59,0,0,4.57,4,8.25,18.07,1
35,1,68.85,98.48,1,1,11.32,1,11.78,35.93,0
19,9,49.57,61.45,1,0,11.48,4,6.79,27.62,0
48,8,42.32,65.5,1,1,6.03,3,10.75,37.0,1
16,2,38.43,100.0,0,1,2.96,3,8.51,42.02,0
3,8,52.56,78.22,0,2,20.92,0,11.87,19.76,1
20,7,44.61,100.0,1,0,6.79,0,7.23,35.33,0
24,11,41.18,71.71,0,2,5.97,3,5.67,15.54,0
54,6,29.27,100.0,1,1,4.81,4,9.29,20.17,0
56,1,64.39,84.23,3,4,3.58,3,8.43,34.58,0
33,7,47.93,63.71,5,2,6.63,3,10.24,39.39,1
24,10,33.72,63.48,4,0,12.71,5,6.86,25.42,1
52,7,45.93,53.14,2,0,9.89,1,6.03,33.82,1
11,9,58.24,54.78,2,2,0.99,3,5.9,26.03,1
49,1,50.43,65.11,2,0,4.51,8,4.3,57.59,0
8,2,52.86,60.13,4,0,6.24,4,15.68,30.99,1
36,11,50.64,36.33,3,0,23.79,6,8.79,29.85,1
38,9,30.85,87.62,2,3,10.39,4,11.79,20.47,1
40,9,64.23,86.63,3,1,12.49,5,17.76,28.7,1
20,6,24.38,79.63,2,4,8.25,0,3.51,33.2,0
35,6,56.92,57.98,2,1,3.2,2,8.6,27.56,0
48,4,59.23,99.7,3,0,2.41,2,16.0,23.86,0
25,4,46.7,72.33,2,0,0.78,3,8.99,36.23,1
35,5,55.3,62.5,2,0,4.84,3,14.89,25.1,1
25,3,45.84,78.49,1,1,5.98,2,1.0,39.21,0
29,1,55.48,77.63,1,1,13.75,2,9.24,23.69,1
18,1,64.89,37.46,2,2,7.49,3,1.54,23.56,0
46,12,38.12,74.54,0,2,11.69,2,10.63,37.97,1
18,7,60.11,76.81,0,1,20.29,3,10.39,36.32,1
2,1,75.39,69.32,1,0,12.7,4,5.26,44.37,0
54,1,53.97,55.18,2,2,7.23,4,9.94,20.97,0
35,3,42.45,55.62,0,2,10.3,1,12.92,30.96,1
16,10,83.95,82.71,3,1,1.77,1,13.09,39.0,0
41,4,51.33,86.42,1,0,2.9,4,13.33,43.14,0
36,4,53.47,68.28,2,2,8.36,3,17.02,40.05,1
33,2,53.79,80.73,1,3,9.45,4,14.54,29.13,1
4,1,56.72,68.13,1,4,2.32,2,6.72,35.02,1
33,3,44.92,62.2,1,0,10.9,4,9.91,16.28,1
14,11,52.85,78.22,0,0,9.79,2,11.39,54.73,1
21,4,64.28,57.76,2,2,3.85,4,8.12,33.74,1
48,3,44.4,100.0,2,1,10.25,6,7.69,28.44,0
20,8,43.7,53.44,2,0,11.76,2,12.99,37.71,1
56,10,45.62,79.26,4,0,6.82,2,4.66,29.81,0
8,1,33.53,77.25,1,3,0.34,1,7.25,50.02,0
7,2,39.76,75.92,4,1,14.84,4,14.87,51.74,0
3,7,39.15,97.25,1,1,11.34,5,8.35,24.04,0
17,4,49.99,34.71,4,0,11.32,2,10.93,31.41,1
33,8,62.54,81.18,1,2,1.21,4,12.53,29.74,0
48,11,71.81,70.9,1,0,9.1,3,13.63,11.4,1
12,3,50.86,83.76,2,0,7.62,2,7.88,36.7,0
59,6,56.85,75.82,3,0,5.56,2,10.7,30.22,0
51,9,53.65,73.87,0,2,2.81,1,5.77,37.33,0
22,1,18.6,56.89,1,0,19.62,0,10.22,17.01,0
55,1,32.78,64.9,2,0,2.72,4,5.04,42.96,1
22,8,61.42,100.0,1,0,14.72,3,9.09,30.24,0
46,3,62.88,83.9,2,2,4.57,3,10.97,14.14,0
30,5,62.53,90.79,1,0,12.13,2,5.38,15.68,0
38,1,47.33,69.72,3,0,4.1,2,13.79,29.56,1
38,5,20.08,62.17,2,0,12.84,2,6.98,24.88,1
45,11,34.57,86.65,1,0,8.39,1,6.8,21.05,1
51,6,36.87,46.44,4,2,7.98,4,5.19,33.47,1
54,8,59.43,65.24,0,0,1.98,2,12.15,34.36,1
8,3,44.64,69.68,1,0,4.85,8,14.7,32.47,1
27,3,75.36,89.17,3,0,3.36,1,8.9,16.76,0
27,12,72.01,81.21,2,1,4.37,4,4.01,29.02,0
34,11,75.11,67.91,3,1,5.69,3,5.32,31.56,0
21,11,36.25,80.53,2,1,9.14,3,8.66,17.5,1
30,10,57.36,70.45,0,1,13.07,8,7.6,34.54,0
33,9,42.84,91.05,1,1,3.47,5,3.82,32.35,0
28,4,54.92,78.54,2,3,6.1,1,11.0,12.99,1
47,4,37.92,100.0,1,2,6.4,1,8.45,20.95,1
33,12,68.39,70.83,5,0,1.76,3,12.85,29.22,0
5,7,38.2,93.38,0,0,4.31,7,10.73,37.27,0
48,2,20.79,76.36,0,2,3.16,3,10.3,5.0,1
19,8,80.51,64.54,4,1,5.77,5,9.05,41.14,1
4,6,56.64,100.0,1,3,3.78,4,10.22,26.4,1
35,3,33.96,94.65,0,1,9.92,2,15.99,41.22,0
49,9,47.57,78.51,4,1,4.75,5,2.17,5.0,1
17,5,41.35,86.49,1,3,12.72,4,11.02,20.42,0
44,8,50.09,58.77,3,1,11.61,4,9.13,35.98,0
28,7,62.04,59.3,2,1,2.56,0,6.71,40.51,0
30,8,59.69,91.71,1,3,8.9,1,12.33,43.35,0
29,7,53.81,75.07,3,1,11.98,2,8.03,39.15,1
46,3,50.08,72.66,0,1,13.58,6,4.51,29.72,1
53,2,66.18,70.68,2,1,9.38,3,6.03,35.8,0
6,7,21.12,77.28,1,3,11.71,5,11.97,43.28,1
35,3,38.77,71.19,4,0,11.59,2,10.81,40.95,1
41,3,35.32,44.52,1,1,2.47,6,3.94,25.6,1
37,2,65.09,96.24,2,1,7.91,2,2.83,37.42,1
24,4,38.91,73.34,1,3,13.84,4,8.39,29.97,1
29,8,30.71,100.0,1,0,8.88,4,1.0,44.0,1
